step,voltage_true_V,voltage_pred_V,voltage_error_mV,soc_true,soc_pred
0,4.198942184448242,4.198382377624512,-0.5598068237304688,0.5058231949806213,0.505488395690918
1,4.198763370513916,4.197952747344971,-0.8106231689453125,0.5060878992080688,0.5054181814193726
2,4.198834419250488,4.197524070739746,-1.3103485107421875,0.5063525438308716,0.5053479671478271
3,4.199137210845947,4.197094440460205,-2.0427703857421875,0.5066172480583191,0.5052777528762817
4,4.198853492736816,4.196665287017822,-2.1882057189941406,0.5068819522857666,0.5052079558372498
5,4.198957920074463,4.196235179901123,-2.7227401733398438,0.5071466565132141,0.505138099193573
6,4.19921875,4.195805549621582,-3.4132003784179688,0.5074113011360168,0.5050678253173828
7,4.199112892150879,4.195375919342041,-3.7369728088378906,0.5076760053634644,0.5049973130226135
8,4.199024200439453,4.1949462890625,-4.077911376953125,0.5079407095909119,0.5049269795417786
9,4.19927453994751,4.194516658782959,-4.757881164550781,0.5082054138183594,0.5048568248748779
10,4.19928503036499,4.194087028503418,-5.198001861572266,0.5084701180458069,0.5047865509986877
11,4.199256896972656,4.193656921386719,-5.5999755859375,0.5087347626686096,0.5047162771224976
12,4.199403762817383,4.193227291107178,-6.176471710205078,0.5089994668960571,0.5046461820602417
13,4.199324131011963,4.192797660827637,-6.526470184326172,0.5092641711235046,0.5045759081840515
14,4.199529647827148,4.192368507385254,-7.161140441894531,0.5095288753509521,0.5045058727264404
15,4.1995038986206055,4.191938877105713,-7.565021514892578,0.5097935199737549,0.5044364333152771
16,4.199418067932129,4.191508769989014,-7.909297943115234,0.5100582242012024,0.5043677687644958
17,4.199609756469727,4.1910786628723145,-8.53109359741211,0.5103229284286499,0.5042994618415833
18,4.199556827545166,4.190647602081299,-8.909225463867188,0.5105876326560974,0.5042312145233154
19,4.199533939361572,4.190216541290283,-9.317398071289062,0.5108522772789001,0.5041632056236267
